Age,Income,Purchases,Membership,Churn
52,532.2,20,Month-to-month,No
42,840.0,1,Month-to-month,Yes
52,894.0,8,Month-to-month,Yes
42,538.2,10,Month-to-month,Yes
46,913.1999999999999,24,Month-to-month,Yes
35,734.4000000000001,35,One year,No
63,1041.6,23,One year,No
35,1072.1999999999998,6,Month-to-month,No
19,236.39999999999998,12,Month-to-month,No
52,243.0,1,Month-to-month,No
33,912.5999999999999,71,Two year,No
58,1209.6,35,Month-to-month,No
53,894.5999999999999,40,Month-to-month,No
50,883.1999999999999,1,Month-to-month,Yes
21,778.8000000000001,23,One year,No
50,1145.4,4,Month-to-month,Yes
31,1084.8000000000002,4,Month-to-month,No
38,723.5999999999999,68,Two year,No
37,982.1999999999999,38,Month-to-month,No
25,297.6,52,Two year,No
24,898.8000000000001,32,Month-to-month,Yes
20,906.5999999999999,29,Two year,No
34,1213.8000000000002,38,Month-to-month,No
50,945.0,48,One year,No
29,231.0,1,Month-to-month,No
39,1068.6,22,Month-to-month,No
39,1380.6,43,Two year,No
63,832.1999999999999,5,Month-to-month,No
47,967.1999999999999,5,Month-to-month,Yes
55,1320.6,51,One year,No
55,238.79999999999998,71,Two year,No
62,963.5999999999999,38,One year,Yes
25,1117.8000000000002,24,Month-to-month,Yes
44,1098.0,35,Month-to-month,No
44,989.4000000000001,54,One year,Yes
51,720.0,72,Two year,No
38,537.5999999999999,1,Month-to-month,No
47,583.2,9,One year,No
50,720.5999999999999,69,Two year,No
45,1232.4,52,Month-to-month,No
64,994.8000000000001,11,Month-to-month,No
50,844.1999999999999,2,Month-to-month,Yes
22,430.79999999999995,28,Month-to-month,No
36,991.8000000000001,17,Month-to-month,No
21,238.20000000000002,35,Two year,No
52,230.39999999999998,8,One year,No
34,1138.8000000000002,46,One year,No
61,886.1999999999999,7,Month-to-month,Yes
45,967.1999999999999,2,Month-to-month,Yes
47,909.5999999999999,68,One year,Yes
46,1255.1999999999998,43,Two year,Yes
63,1057.8000000000002,68,Two year,No
23,1137.6,36,Month-to-month,No
52,1240.8000000000002,63,Month-to-month,Yes
58,655.8,32,Month-to-month,No
54,1029.0,71,Two year,No
41,809.4000000000001,66,Month-to-month,No
46,246.0,63,One year,No
63,243.0,41,One year,No
48,865.1999999999999,1,Month-to-month,No
52,1084.8000000000002,2,Month-to-month,Yes
50,233.39999999999998,70,Two year,No
38,539.4000000000001,23,Month-to-month,No
49,1164.0,64,One year,No
40,753.5999999999999,37,Two year,No
50,535.2,17,One year,No
20,1069.8000000000002,7,Month-to-month,No
35,1017.5999999999999,4,Month-to-month,Yes
42,502.79999999999995,21,Month-to-month,Yes
59,963.0,10,Month-to-month,Yes
48,649.2,16,Month-to-month,No
20,1263.0,64,Two year,No
57,369.0,27,Month-to-month,Yes
63,1165.1999999999998,42,One year,No
41,242.39999999999998,5,Month-to-month,No
49,1185.6,41,Two year,No
64,603.5999999999999,58,One year,No
39,246.60000000000002,47,Two year,No
40,910.8000000000001,18,Month-to-month,No
19,1158.0,5,Month-to-month,Yes
44,719.4000000000001,23,Month-to-month,No
59,229.79999999999998,1,Month-to-month,No
19,1183.8000000000002,71,One year,No
43,1351.1999999999998,72,Two year,No
34,247.20000000000002,33,One year,No
57,1027.8000000000002,2,Month-to-month,Yes
50,429.0,24,Two year,No
26,1197.0,56,One year,No
60,1153.1999999999998,37,Month-to-month,No
56,1021.1999999999999,43,One year,No
46,304.20000000000005,1,Month-to-month,No
59,1259.4,25,Month-to-month,Yes
43,1075.8000000000002,61,Two year,No
52,1041.0,17,One year,No
42,1034.4,41,One year,No
41,607.8,1,Month-to-month,Yes
30,777.5999999999999,72,Two year,No
24,1090.1999999999998,1,Month-to-month,Yes
53,1297.1999999999998,48,Two year,No
62,239.39999999999998,11,Month-to-month,Yes
37,1025.4,55,Month-to-month,Yes
18,657.0,42,One year,No
25,1084.8000000000002,44,Month-to-month,No
63,528.0,1,Month-to-month,No
33,1147.1999999999998,27,Month-to-month,No
31,1017.5999999999999,27,Month-to-month,No
29,531.5999999999999,2,Month-to-month,No
40,238.79999999999998,19,Month-to-month,No
32,1140.6,42,Month-to-month,No
45,1080.6,66,Two year,No
51,1318.8000000000002,33,Month-to-month,No
19,887.4000000000001,34,Month-to-month,Yes
49,655.2,33,Month-to-month,No
40,240.60000000000002,23,One year,No
39,237.0,32,One year,No
42,240.60000000000002,11,One year,No
39,1193.4,69,Month-to-month,Yes
39,670.8,68,One year,No
59,236.39999999999998,20,Two year,No
23,237.60000000000002,72,Two year,No
32,1144.8000000000002,60,One year,No
60,1127.4,32,Month-to-month,No
54,238.79999999999998,1,Month-to-month,Yes
50,235.20000000000002,1,Month-to-month,Yes
25,976.1999999999999,3,Month-to-month,Yes
61,293.4,46,One year,No
61,899.4000000000001,29,Month-to-month,No
22,1048.1999999999998,51,Month-to-month,No
56,847.8000000000001,48,Month-to-month,No
21,879.0,16,Month-to-month,No
23,1184.4,70,Two year,No
62,297.6,40,Two year,No
49,999.5999999999999,22,Month-to-month,Yes
47,903.5999999999999,1,Month-to-month,Yes
64,291.6,5,Month-to-month,No
52,838.1999999999999,7,Month-to-month,No
57,1206.6,29,One year,No
33,308.4,44,One year,No
30,488.40000000000003,10,Month-to-month,No
59,619.8,55,Month-to-month,No
47,1261.1999999999998,52,One year,No
36,1031.4,10,Month-to-month,No
34,907.1999999999999,18,Month-to-month,No
36,699.0,68,One year,No
45,232.79999999999998,61,Month-to-month,Yes
43,782.4000000000001,72,Two year,No
54,641.4000000000001,2,Month-to-month,No
43,544.8,12,Month-to-month,Yes
40,237.0,41,Two year,No
26,533.4000000000001,26,Month-to-month,No
29,250.20000000000002,36,One year,No
18,1368.6,72,Two year,No
18,1078.1999999999998,35,Month-to-month,No
64,660.5999999999999,1,Month-to-month,No
51,1355.4,16,Month-to-month,No
49,1218.6,49,Month-to-month,No
42,1375.8000000000002,54,One year,No
57,777.5999999999999,18,Month-to-month,No
62,964.8000000000001,36,Month-to-month,No
18,1270.8000000000002,60,Month-to-month,Yes
33,834.5999999999999,1,Month-to-month,Yes
56,300.6,52,Two year,No
22,1137.0,8,Month-to-month,No
39,1266.0,72,Two year,No
46,296.4,64,One year,No
20,837.0,22,Month-to-month,No
29,722.4000000000001,60,Month-to-month,No
43,972.5999999999999,28,Month-to-month,Yes
33,292.79999999999995,61,Two year,No
54,1249.8000000000002,24,Month-to-month,No
39,1114.8000000000002,28,One year,No
46,969.5999999999999,30,Two year,No
31,240.0,2,Month-to-month,No
45,901.1999999999999,1,Month-to-month,No
22,235.79999999999998,6,Month-to-month,No
64,833.4000000000001,24,Month-to-month,No
47,1213.8000000000002,4,Month-to-month,Yes
63,1197.6,7,Month-to-month,Yes
22,1392.6,72,Two year,No
29,480.59999999999997,70,Two year,No
33,1225.1999999999998,64,Two year,No
43,1076.4,72,One year,No
43,238.79999999999998,44,Two year,No
38,671.4000000000001,13,Month-to-month,Yes
56,247.79999999999998,17,One year,No
53,660.0,1,Month-to-month,Yes
50,840.5999999999999,9,Month-to-month,No
47,643.2,24,Month-to-month,No
54,896.4000000000001,1,Month-to-month,Yes
40,963.0,24,Month-to-month,Yes
27,912.5999999999999,35,Month-to-month,No
22,908.4000000000001,7,Month-to-month,No
53,1153.1999999999998,5,Month-to-month,Yes
51,828.0,15,Month-to-month,Yes
48,235.79999999999998,11,Two year,No
27,543.5999999999999,48,Month-to-month,Yes
36,977.4000000000001,20,Month-to-month,No
49,1302.0,72,One year,No
18,1002.5999999999999,8,Month-to-month,Yes
22,1014.0,72,Two year,No
62,1201.8000000000002,15,Month-to-month,No
21,1063.1999999999998,72,Two year,No
33,630.5999999999999,0,Two year,No
41,892.1999999999999,1,Month-to-month,Yes
33,1257.6,63,Two year,No
19,708.0,2,Month-to-month,No
45,892.8000000000001,2,Month-to-month,Yes
49,768.5999999999999,61,One year,No
44,244.79999999999998,1,Month-to-month,No
37,525.0,22,One year,Yes
41,730.8,28,Month-to-month,No
29,237.60000000000002,70,Two year,No
52,341.4,5,Month-to-month,Yes
50,1196.4,12,Month-to-month,Yes
50,1395.0,34,One year,No
60,968.4000000000001,71,Two year,No
54,782.4000000000001,70,One year,No
29,1008.5999999999999,52,Month-to-month,No
20,953.4000000000001,69,Two year,No
18,1129.1999999999998,20,Month-to-month,Yes
50,936.0,11,Month-to-month,No
57,1130.4,2,Month-to-month,Yes
27,966.0,6,Month-to-month,Yes
60,238.20000000000002,1,Month-to-month,No
61,1131.6,20,One year,No
46,1277.4,61,Month-to-month,No
30,892.1999999999999,5,Month-to-month,Yes
29,1265.4,56,Month-to-month,No
48,1140.0,30,Month-to-month,No
63,1257.6,40,Month-to-month,Yes
19,651.5999999999999,28,One year,No
52,840.5999999999999,5,Month-to-month,No
40,902.4000000000001,27,Month-to-month,Yes
34,240.60000000000002,12,Month-to-month,No
43,1264.8000000000002,67,One year,No
25,619.2,29,Month-to-month,No
46,1026.0,55,Month-to-month,No
43,907.1999999999999,23,Month-to-month,Yes
27,1200.6,34,Month-to-month,Yes
43,1095.0,52,One year,No
51,1389.0,72,Two year,No
58,1136.4,58,One year,No
24,235.20000000000002,35,Two year,No
21,1198.8000000000002,56,Two year,No
62,253.20000000000002,24,Two year,No
28,240.60000000000002,70,Two year,No
46,959.4000000000001,2,Month-to-month,No
53,1285.8000000000002,68,One year,No
42,1020.0,1,Month-to-month,Yes
38,1074.6,12,Month-to-month,No
53,978.5999999999999,63,Month-to-month,No
27,701.4000000000001,33,One year,No
54,1147.8000000000002,69,One year,No
26,967.1999999999999,60,Two year,No
41,1357.1999999999998,72,Two year,No
52,707.4000000000001,11,Month-to-month,No
52,234.60000000000002,1,Month-to-month,No
53,1032.6,10,Month-to-month,Yes
35,546.5999999999999,13,Month-to-month,Yes
56,947.4000000000001,34,One year,No
49,1035.6,39,Month-to-month,Yes
41,1260.6,65,One year,No
40,1222.8000000000002,50,One year,No
49,237.0,15,Month-to-month,No
54,1323.6,72,Two year,No
29,1387.1999999999998,72,Two year,No
30,232.20000000000002,55,Two year,No
40,307.20000000000005,23,Two year,No
42,964.1999999999999,32,Month-to-month,Yes
52,825.0,56,One year,No
58,238.79999999999998,1,Month-to-month,No
47,847.1999999999999,38,One year,No
34,842.4000000000001,11,Month-to-month,No
37,591.5999999999999,1,Month-to-month,No
42,1287.0,56,One year,No
39,283.20000000000005,3,Month-to-month,No
30,836.4000000000001,7,Month-to-month,No
36,1194.0,59,Two year,No
53,771.5999999999999,7,Month-to-month,No
29,850.1999999999999,71,Two year,No
58,1222.8000000000002,15,One year,No
36,882.0,71,Two year,No
29,1203.0,35,Month-to-month,Yes
26,484.79999999999995,11,One year,No
24,231.0,60,Two year,No
45,715.2,47,Two year,No
31,778.8000000000001,11,One year,No
48,1203.6,56,One year,Yes
36,1330.1999999999998,28,Month-to-month,No
64,972.5999999999999,61,Two year,No
33,1176.6,31,One year,No
22,846.0,9,Month-to-month,No
52,1134.6,35,Month-to-month,No
29,235.79999999999998,2,Month-to-month,No
42,228.0,12,Month-to-month,Yes
38,903.5999999999999,1,Month-to-month,Yes
53,1070.4,4,Month-to-month,Yes
40,228.0,1,Month-to-month,No
33,240.0,3,Month-to-month,No
56,1028.4,1,Month-to-month,Yes
62,759.0,52,Two year,No
59,241.20000000000002,5,One year,No
56,1189.8000000000002,72,Two year,No
31,1084.8000000000002,71,Two year,No
48,1342.8000000000002,72,Two year,No
22,298.79999999999995,46,One year,No
52,1002.0,63,Two year,No
40,1011.5999999999999,30,Month-to-month,No
46,547.2,1,Month-to-month,No
60,739.8,12,Month-to-month,Yes
28,658.2,16,Two year,No
35,786.5999999999999,4,Month-to-month,No
64,1084.1999999999998,51,One year,No
29,244.79999999999998,65,Two year,No
26,894.5999999999999,16,Month-to-month,No
27,239.39999999999998,2,One year,No
61,891.0,66,One year,No
34,1303.8000000000002,46,Two year,No
55,1314.6,32,One year,No
24,1039.8000000000002,72,Two year,No
63,972.0,38,Two year,No
30,574.2,51,One year,No
57,1374.6,72,Two year,No
59,1263.0,65,Month-to-month,Yes
26,359.4,9,Month-to-month,Yes
44,780.0,9,Month-to-month,Yes
19,246.60000000000002,66,Two year,No
22,1317.6,44,One year,No
46,834.0,50,Two year,No
54,586.2,15,Month-to-month,No
55,303.0,8,Month-to-month,No
36,1234.1999999999998,66,One year,No
25,1050.6,57,Month-to-month,No
62,942.5999999999999,7,Month-to-month,No
18,414.59999999999997,10,Month-to-month,No
39,1104.6,62,One year,No
34,1020.5999999999999,40,One year,No
24,236.39999999999998,20,Two year,No
42,240.0,7,Month-to-month,Yes
62,1141.8000000000002,25,Month-to-month,No
21,1011.0,23,Month-to-month,No
53,1255.1999999999998,66,One year,No
23,1339.8000000000002,72,Two year,No
48,1080.6,49,Month-to-month,Yes
36,1329.0,43,Month-to-month,Yes
61,660.0,46,Month-to-month,No
56,1078.1999999999998,72,Two year,No
44,244.20000000000002,10,One year,No
27,654.5999999999999,40,One year,No
43,1266.0,65,Month-to-month,Yes
36,1193.4,31,Two year,No
56,850.8000000000001,68,Two year,No
20,1254.6,56,One year,Yes
62,1023.0,10,Month-to-month,Yes
30,304.79999999999995,68,Two year,No
45,673.8,43,Month-to-month,Yes
37,1074.6,1,Month-to-month,Yes
45,1078.1999999999998,49,One year,No
25,303.0,15,Month-to-month,No
58,1134.6,20,Month-to-month,Yes
56,548.4000000000001,1,Month-to-month,Yes
18,835.8000000000001,50,One year,No
20,1074.0,2,Month-to-month,Yes
30,840.0,24,Month-to-month,No
45,834.5999999999999,3,Month-to-month,Yes
42,895.1999999999999,1,Month-to-month,Yes
50,241.20000000000002,35,Two year,No
55,297.6,17,Month-to-month,No
23,235.79999999999998,8,Month-to-month,Yes
61,1141.1999999999998,10,Month-to-month,No
62,1066.1999999999998,68,Two year,No
49,945.5999999999999,45,One year,No
62,238.20000000000002,2,One year,Yes
64,244.20000000000002,37,Month-to-month,No
38,291.0,4,Month-to-month,Yes
33,543.0,10,Month-to-month,No
38,240.60000000000002,1,Month-to-month,No
28,834.5999999999999,65,Two year,No
54,234.0,57,Two year,No
53,897.0,3,Month-to-month,No
52,835.8000000000001,2,Month-to-month,Yes
36,362.4,49,Month-to-month,No
37,547.8,4,Month-to-month,Yes
35,693.5999999999999,70,Two year,No
64,238.20000000000002,53,One year,No
58,306.6,53,Two year,No
31,900.5999999999999,1,Month-to-month,Yes
32,298.20000000000005,22,Month-to-month,No
48,589.8,52,Month-to-month,Yes
18,1324.1999999999998,65,Two year,No
20,294.6,48,One year,No
33,416.40000000000003,2,Month-to-month,Yes
40,1295.4,3,Month-to-month,No
28,976.8000000000001,45,Month-to-month,No
29,960.0,1,Month-to-month,Yes
27,885.5999999999999,61,Two year,No
49,772.8000000000001,3,Month-to-month,No
33,1245.0,40,One year,No
25,853.1999999999999,1,Month-to-month,No
55,598.8,1,Month-to-month,No
29,295.20000000000005,51,One year,No
41,591.0,2,Month-to-month,Yes
45,361.20000000000005,52,One year,No
25,1000.8000000000001,51,Month-to-month,No
45,245.39999999999998,1,Month-to-month,No
53,903.0,31,One year,No
43,246.60000000000002,47,One year,No
25,901.1999999999999,3,Month-to-month,Yes
45,240.60000000000002,22,One year,No
45,247.79999999999998,1,Month-to-month,No
54,1021.8000000000001,72,Two year,No
58,601.8,3,Month-to-month,Yes
53,1019.4000000000001,47,One year,No
44,798.0,72,Two year,No
34,759.5999999999999,66,Two year,No
26,997.8000000000001,35,Month-to-month,No
50,1018.8000000000001,29,Month-to-month,No
37,246.60000000000002,2,Month-to-month,No
30,591.0,4,Month-to-month,No
45,958.1999999999999,25,Month-to-month,Yes
46,715.2,65,Two year,No
30,1255.8000000000002,27,One year,No
63,903.5999999999999,29,Month-to-month,No
52,961.1999999999999,29,Month-to-month,No
23,234.60000000000002,1,Month-to-month,Yes
35,972.0,20,Month-to-month,No
22,296.4,58,Two year,No
64,1032.0,14,Month-to-month,No
42,304.79999999999995,72,Two year,No
19,1069.8000000000002,46,Month-to-month,No
27,699.0,71,Two year,No
47,1027.8000000000002,32,Month-to-month,No
62,604.2,26,Month-to-month,No
22,964.1999999999999,68,Month-to-month,No
50,242.39999999999998,2,One year,No
18,246.60000000000002,61,Two year,No
35,1031.4,4,Month-to-month,Yes
49,544.2,3,Month-to-month,Yes
64,1134.0,33,Month-to-month,Yes
28,255.0,9,Month-to-month,No
38,315.0,22,Two year,No
43,970.1999999999999,5,Month-to-month,No
42,1100.4,30,Month-to-month,Yes
39,890.4000000000001,65,Two year,No
44,1047.0,45,Month-to-month,Yes
30,244.20000000000002,5,Month-to-month,No
50,906.0,25,Month-to-month,No
51,948.5999999999999,72,Two year,No
58,1081.8000000000002,27,Month-to-month,No
52,607.2,32,Month-to-month,No
18,1325.4,30,One year,No
38,1212.0,70,Two year,No
23,952.1999999999999,42,Month-to-month,No
45,1078.1999999999998,72,Two year,No
34,780.0,47,Two year,No
22,965.4000000000001,2,Month-to-month,No
48,1182.6,10,Month-to-month,Yes
22,289.20000000000005,61,Two year,No
55,528.5999999999999,5,Month-to-month,No
20,1329.6,72,Two year,No
40,1379.4,72,Two year,No
54,900.5999999999999,3,Month-to-month,No
54,231.0,48,Two year,No
27,1080.6,63,One year,No
